# static image no-cache test, 30 rounds, frame 131619B
[001] 6.2s | ' Yes.'
[002] 6.2s | ' Yes.'
[003] 6.2s | ' Yes.'
[004] 6.2s | ' Yes.'
[005] 6.2s | ' Yes.'
[006] 6.2s | ' Yes.'
[007] 6.1s | ' Yes.'
[008] 6.1s | ' Yes.'
[009] 6.1s | ' Yes.'
[010] 6.1s | ' Yes.'
[011] 6.2s | ' Yes.'
[012] 6.2s | ' Yes.'
[013] 6.1s | ' Yes.'
[014] 6.1s | ' Yes.'
[015] 6.2s | ' Yes.'
[016] 6.1s | ' Yes.'
[017] 6.1s | ' Yes.'
[018] 6.1s | ' Yes.'
[019] 6.1s | ' Yes.'
[020] 6.2s | ' Yes.'
[021] 6.1s | ' Yes.'
[022] 6.1s | ' Yes.'
[023] 6.1s | ' Yes.'
[024] 6.1s | ' Yes.'
[025] 6.1s | ' Yes.'
[026] 6.1s | ' Yes.'
[027] 6.1s | ' Yes.'
[028] 6.2s | ' Yes.'
[029] 6.2s | ' Yes.'
[030] 6.1s | ' Yes.'
