0.00.021.197 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.024.432 I srv    load_model: loading model '/userdata/llama/models/SmolVLM-500M-Instruct-Q8_0.gguf'
0.02.412.611 W load_tensors: ffn up/down are swapped
0.02.939.088 I srv    load_model: loaded multimodal model, '/userdata/llama/models/mmproj-SmolVLM-500M-Instruct-Q8_0.gguf'
0.03.074.815 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'true'
0.03.079.311 I srv  llama_server: model loaded
0.03.079.319 I srv  llama_server: listening on http://127.0.0.1:8088
0.04.406.776 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.04.407.540 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.11.909.713 I slot print_timing: id  3 | task 0 | prompt eval time =    7404.57 ms /   149 tokens (   49.70 ms per token,    20.12 tokens per second)
0.11.909.725 I slot print_timing: id  3 | task 0 |        eval time =      97.32 ms /     3 tokens (   32.44 ms per token,    30.82 tokens per second)
0.11.909.726 I slot print_timing: id  3 | task 0 |       total time =    7501.90 ms /   152 tokens
0.11.909.732 I slot print_timing: id  3 | task 0 |    graphs reused =          2
0.11.909.788 I slot      release: id  3 | task 0 | stop processing: n_tokens = 151, truncated = 0
0.11.945.653 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.396 (> 0.100 thold), f_keep = 0.391
0.11.954.215 I slot launch_slot_: id  3 | task 5 | processing task, is_child = 0
0.19.470.236 I slot print_timing: id  3 | task 5 | prompt eval time =    7422.65 ms /   149 tokens (   49.82 ms per token,    20.07 tokens per second)
0.19.470.246 I slot print_timing: id  3 | task 5 |        eval time =      93.20 ms /     3 tokens (   31.07 ms per token,    32.19 tokens per second)
0.19.470.250 I slot print_timing: id  3 | task 5 |       total time =    7515.85 ms /   152 tokens
0.19.470.252 I slot print_timing: id  3 | task 5 |    graphs reused =          3
0.19.470.295 I slot      release: id  3 | task 5 | stop processing: n_tokens = 151, truncated = 0
0.19.506.012 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.396 (> 0.100 thold), f_keep = 0.391
0.19.513.705 I slot launch_slot_: id  3 | task 10 | processing task, is_child = 0
0.27.026.757 I slot print_timing: id  3 | task 10 | prompt eval time =    7421.41 ms /   149 tokens (   49.81 ms per token,    20.08 tokens per second)
0.27.026.772 I slot print_timing: id  3 | task 10 |        eval time =      91.48 ms /     3 tokens (   30.49 ms per token,    32.79 tokens per second)
0.27.026.774 I slot print_timing: id  3 | task 10 |       total time =    7512.89 ms /   152 tokens
0.27.026.776 I slot print_timing: id  3 | task 10 |    graphs reused =          4
0.27.026.815 I slot      release: id  3 | task 10 | stop processing: n_tokens = 151, truncated = 0
0.27.062.792 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.396 (> 0.100 thold), f_keep = 0.391
0.27.073.398 I slot launch_slot_: id  3 | task 15 | processing task, is_child = 0
0.34.609.784 I slot print_timing: id  3 | task 15 | prompt eval time =    7449.30 ms /   149 tokens (   50.00 ms per token,    20.00 tokens per second)
0.34.609.845 I slot print_timing: id  3 | task 15 |        eval time =      86.83 ms /     3 tokens (   28.94 ms per token,    34.55 tokens per second)
0.34.609.857 I slot print_timing: id  3 | task 15 |       total time =    7536.14 ms /   152 tokens
0.34.609.868 I slot print_timing: id  3 | task 15 |    graphs reused =          5
0.34.609.914 I slot      release: id  3 | task 15 | stop processing: n_tokens = 151, truncated = 0
0.34.645.757 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.396 (> 0.100 thold), f_keep = 0.391
0.34.653.238 I slot launch_slot_: id  3 | task 20 | processing task, is_child = 0
0.42.201.593 I slot print_timing: id  3 | task 20 | prompt eval time =    7449.31 ms /   149 tokens (   50.00 ms per token,    20.00 tokens per second)
0.42.201.617 I slot print_timing: id  3 | task 20 |        eval time =      98.84 ms /     3 tokens (   32.95 ms per token,    30.35 tokens per second)
0.42.201.620 I slot print_timing: id  3 | task 20 |       total time =    7548.15 ms /   152 tokens
0.42.201.626 I slot print_timing: id  3 | task 20 |    graphs reused =          6
0.42.201.712 I slot      release: id  3 | task 20 | stop processing: n_tokens = 151, truncated = 0
0.42.237.503 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.396 (> 0.100 thold), f_keep = 0.391
0.42.248.101 I slot launch_slot_: id  3 | task 25 | processing task, is_child = 0
0.49.813.625 I slot print_timing: id  3 | task 25 | prompt eval time =    7472.78 ms /   149 tokens (   50.15 ms per token,    19.94 tokens per second)
0.49.813.634 I slot print_timing: id  3 | task 25 |        eval time =      92.42 ms /     3 tokens (   30.81 ms per token,    32.46 tokens per second)
0.49.813.636 I slot print_timing: id  3 | task 25 |       total time =    7565.20 ms /   152 tokens
0.49.813.638 I slot print_timing: id  3 | task 25 |    graphs reused =          7
0.49.813.674 I slot      release: id  3 | task 25 | stop processing: n_tokens = 151, truncated = 0
0.49.828.950 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.396 (> 0.100 thold), f_keep = 0.391
0.49.839.496 I slot launch_slot_: id  3 | task 30 | processing task, is_child = 0
0.57.337.111 I slot print_timing: id  3 | task 30 | prompt eval time =    7411.91 ms /   149 tokens (   49.74 ms per token,    20.10 tokens per second)
0.57.337.120 I slot print_timing: id  3 | task 30 |        eval time =      85.47 ms /     3 tokens (   28.49 ms per token,    35.10 tokens per second)
0.57.337.122 I slot print_timing: id  3 | task 30 |       total time =    7497.38 ms /   152 tokens
0.57.337.124 I slot print_timing: id  3 | task 30 |    graphs reused =          8
0.57.337.161 I slot      release: id  3 | task 30 | stop processing: n_tokens = 151, truncated = 0
0.57.352.155 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.396 (> 0.100 thold), f_keep = 0.391
0.57.362.703 I slot launch_slot_: id  3 | task 35 | processing task, is_child = 0
1.04.904.598 I slot print_timing: id  3 | task 35 | prompt eval time =    7459.42 ms /   149 tokens (   50.06 ms per token,    19.97 tokens per second)
1.04.904.609 I slot print_timing: id  3 | task 35 |        eval time =      82.24 ms /     3 tokens (   27.41 ms per token,    36.48 tokens per second)
1.04.904.611 I slot print_timing: id  3 | task 35 |       total time =    7541.66 ms /   152 tokens
1.04.904.612 I slot print_timing: id  3 | task 35 |    graphs reused =          9
1.04.904.650 I slot      release: id  3 | task 35 | stop processing: n_tokens = 151, truncated = 0
1.04.937.445 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.396 (> 0.100 thold), f_keep = 0.391
1.04.945.088 I slot launch_slot_: id  3 | task 40 | processing task, is_child = 0
1.12.464.015 I slot print_timing: id  3 | task 40 | prompt eval time =    7436.93 ms /   149 tokens (   49.91 ms per token,    20.04 tokens per second)
1.12.464.024 I slot print_timing: id  3 | task 40 |        eval time =      81.76 ms /     3 tokens (   27.25 ms per token,    36.69 tokens per second)
1.12.464.026 I slot print_timing: id  3 | task 40 |       total time =    7518.69 ms /   152 tokens
1.12.464.028 I slot print_timing: id  3 | task 40 |    graphs reused =         10
1.12.464.066 I slot      release: id  3 | task 40 | stop processing: n_tokens = 151, truncated = 0
1.12.477.291 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.396 (> 0.100 thold), f_keep = 0.391
1.12.480.788 I slot launch_slot_: id  3 | task 45 | processing task, is_child = 0
1.19.995.918 I slot print_timing: id  3 | task 45 | prompt eval time =    7420.72 ms /   149 tokens (   49.80 ms per token,    20.08 tokens per second)
1.19.995.933 I slot print_timing: id  3 | task 45 |        eval time =      94.34 ms /     3 tokens (   31.45 ms per token,    31.80 tokens per second)
1.19.995.934 I slot print_timing: id  3 | task 45 |       total time =    7515.06 ms /   152 tokens
1.19.995.936 I slot print_timing: id  3 | task 45 |    graphs reused =         11
1.19.995.974 I slot      release: id  3 | task 45 | stop processing: n_tokens = 151, truncated = 0
1.20.028.704 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.396 (> 0.100 thold), f_keep = 0.391
