0.00.019.395 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.021.349 I srv    load_model: loading model '/userdata/llama/models/SmolVLM-500M-Instruct-Q8_0.gguf'
0.00.667.214 W load_tensors: ffn up/down are swapped
0.00.722.571 I srv    load_model: loaded multimodal model, '/userdata/llama/models/mmproj-SmolVLM-500M-Instruct-Q8_0.gguf'
0.00.800.227 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'true'
0.00.804.710 I srv  llama_server: model loaded
0.00.804.718 I srv  llama_server: listening on http://127.0.0.1:8088
0.02.368.110 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.02.368.818 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.09.891.410 I slot print_timing: id  3 | task 0 | prompt eval time =    7436.47 ms /   149 tokens (   49.91 ms per token,    20.04 tokens per second)
0.09.891.421 I slot print_timing: id  3 | task 0 |        eval time =      85.85 ms /     3 tokens (   28.62 ms per token,    34.95 tokens per second)
0.09.891.422 I slot print_timing: id  3 | task 0 |       total time =    7522.32 ms /   152 tokens
0.09.891.428 I slot print_timing: id  3 | task 0 |    graphs reused =          2
0.09.891.483 I slot      release: id  3 | task 0 | stop processing: n_tokens = 151, truncated = 0
0.09.927.497 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.396 (> 0.100 thold), f_keep = 0.391
0.09.941.026 I slot launch_slot_: id  3 | task 5 | processing task, is_child = 0
0.17.455.953 I slot print_timing: id  3 | task 5 | prompt eval time =    7432.70 ms /   149 tokens (   49.88 ms per token,    20.05 tokens per second)
0.17.455.964 I slot print_timing: id  3 | task 5 |        eval time =      81.99 ms /     3 tokens (   27.33 ms per token,    36.59 tokens per second)
0.17.455.965 I slot print_timing: id  3 | task 5 |       total time =    7514.69 ms /   152 tokens
0.17.455.967 I slot print_timing: id  3 | task 5 |    graphs reused =          3
0.17.456.004 I slot      release: id  3 | task 5 | stop processing: n_tokens = 151, truncated = 0
0.17.492.245 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.396 (> 0.100 thold), f_keep = 0.391
0.17.502.792 I slot launch_slot_: id  3 | task 10 | processing task, is_child = 0
0.25.106.252 I slot print_timing: id  3 | task 10 | prompt eval time =    7505.66 ms /   149 tokens (   50.37 ms per token,    19.85 tokens per second)
0.25.106.263 I slot print_timing: id  3 | task 10 |        eval time =      97.57 ms /     3 tokens (   32.52 ms per token,    30.75 tokens per second)
0.25.106.265 I slot print_timing: id  3 | task 10 |       total time =    7603.23 ms /   152 tokens
0.25.106.266 I slot print_timing: id  3 | task 10 |    graphs reused =          4
0.25.106.302 I slot      release: id  3 | task 10 | stop processing: n_tokens = 151, truncated = 0
0.25.142.517 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.396 (> 0.100 thold), f_keep = 0.391
0.25.149.617 I slot launch_slot_: id  3 | task 15 | processing task, is_child = 0
0.32.687.227 I slot print_timing: id  3 | task 15 | prompt eval time =    7444.35 ms /   149 tokens (   49.96 ms per token,    20.02 tokens per second)
0.32.687.238 I slot print_timing: id  3 | task 15 |        eval time =      93.16 ms /     3 tokens (   31.05 ms per token,    32.20 tokens per second)
0.32.687.239 I slot print_timing: id  3 | task 15 |       total time =    7537.51 ms /   152 tokens
0.32.687.241 I slot print_timing: id  3 | task 15 |    graphs reused =          5
0.32.687.276 I slot      release: id  3 | task 15 | stop processing: n_tokens = 151, truncated = 0
0.32.723.527 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.396 (> 0.100 thold), f_keep = 0.391
0.32.733.794 I slot launch_slot_: id  3 | task 20 | processing task, is_child = 0
0.40.277.110 I slot print_timing: id  3 | task 20 | prompt eval time =    7453.70 ms /   149 tokens (   50.02 ms per token,    19.99 tokens per second)
0.40.277.120 I slot print_timing: id  3 | task 20 |        eval time =      89.37 ms /     3 tokens (   29.79 ms per token,    33.57 tokens per second)
0.40.277.121 I slot print_timing: id  3 | task 20 |       total time =    7543.07 ms /   152 tokens
0.40.277.123 I slot print_timing: id  3 | task 20 |    graphs reused =          6
0.40.277.158 I slot      release: id  3 | task 20 | stop processing: n_tokens = 151, truncated = 0
0.40.313.208 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.396 (> 0.100 thold), f_keep = 0.391
0.40.323.811 I slot launch_slot_: id  3 | task 25 | processing task, is_child = 0
0.47.885.409 I slot print_timing: id  3 | task 25 | prompt eval time =    7473.54 ms /   149 tokens (   50.16 ms per token,    19.94 tokens per second)
0.47.885.420 I slot print_timing: id  3 | task 25 |        eval time =      87.83 ms /     3 tokens (   29.28 ms per token,    34.16 tokens per second)
0.47.885.422 I slot print_timing: id  3 | task 25 |       total time =    7561.37 ms /   152 tokens
0.47.885.423 I slot print_timing: id  3 | task 25 |    graphs reused =          7
0.47.885.460 I slot      release: id  3 | task 25 | stop processing: n_tokens = 151, truncated = 0
0.47.921.463 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.396 (> 0.100 thold), f_keep = 0.391
0.47.928.332 I slot launch_slot_: id  3 | task 30 | processing task, is_child = 0
0.55.432.461 I slot print_timing: id  3 | task 30 | prompt eval time =    7416.20 ms /   149 tokens (   49.77 ms per token,    20.09 tokens per second)
0.55.432.473 I slot print_timing: id  3 | task 30 |        eval time =      87.80 ms /     3 tokens (   29.27 ms per token,    34.17 tokens per second)
0.55.432.474 I slot print_timing: id  3 | task 30 |       total time =    7504.00 ms /   152 tokens
0.55.432.476 I slot print_timing: id  3 | task 30 |    graphs reused =          8
0.55.432.512 I slot      release: id  3 | task 30 | stop processing: n_tokens = 151, truncated = 0
0.55.468.737 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.396 (> 0.100 thold), f_keep = 0.391
0.55.479.417 I slot launch_slot_: id  3 | task 35 | processing task, is_child = 0
1.03.032.625 I slot print_timing: id  3 | task 35 | prompt eval time =    7450.21 ms /   149 tokens (   50.00 ms per token,    20.00 tokens per second)
1.03.032.637 I slot print_timing: id  3 | task 35 |        eval time =     102.77 ms /     3 tokens (   34.26 ms per token,    29.19 tokens per second)
1.03.032.638 I slot print_timing: id  3 | task 35 |       total time =    7552.98 ms /   152 tokens
1.03.032.640 I slot print_timing: id  3 | task 35 |    graphs reused =          9
1.03.032.677 I slot      release: id  3 | task 35 | stop processing: n_tokens = 151, truncated = 0
